Name,Temperature(degree),Dew point(degree),Humidity(%),Wind Speed(Km/h)
 Jan ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]"
1,"[20.0, 11.4, 6.0]","[11.0, 7.5, 4.0]","[97.0, 80.0, 52.0]","[7.0, 2.9, 0.0]"
2,"[20.0, 12.1, 7.0]","[11.0, 8.4, 6.0]","[97.0, 80.5, 46.0]","[7.0, 2.1, 0.0]"
3,"[21.0, 13.4, 7.0]","[12.0, 8.6, 6.0]","[97.0, 77.1, 43.0]","[9.0, 2.1, 0.0]"
4,"[23.0, 15.6, 9.0]","[12.0, 10.1, 8.0]","[95.0, 74.6, 42.0]","[7.0, 2.4, 0.0]"
5,"[15.0, 12.9, 12.0]","[14.0, 12.5, 11.0]","[96.0, 95.4, 93.0]","[9.0, 3.5, 0.0]"
6,"[20.0, 16.1, 13.0]","[14.0, 13.0, 12.0]","[97.0, 84.3, 64.0]","[11.0, 6.9, 0.0]"
7,"[19.0, 16.6, 13.0]","[16.0, 14.4, 13.0]","[98.0, 87.4, 76.0]","[15.0, 10.3, 7.0]"
8,"[16.0, 15.6, 14.0]","[16.0, 15.5, 14.0]","[100.0, 99.4, 97.0]","[15.0, 9.0, 7.0]"
9,"[14.0, 13.4, 12.0]","[14.0, 12.8, 11.0]","[100.0, 97.1, 93.0]","[15.0, 7.8, 0.0]"
10,"[17.0, 12.4, 9.0]","[11.0, 9.9, 8.0]","[97.0, 86.3, 66.0]","[9.0, 2.5, 0.0]"
11,"[17.0, 11.8, 8.0]","[11.0, 9.4, 8.0]","[100.0, 85.3, 61.0]","[15.0, 6.0, 0.0]"
12,"[17.0, 11.5, 8.0]","[9.0, 8.4, 8.0]","[100.0, 83.3, 59.0]","[11.0, 4.0, 0.0]"
13,"[16.0, 10.9, 7.0]","[12.0, 9.1, 7.0]","[100.0, 89.8, 69.0]","[0.0, 0.0, 0.0]"
14,"[15.0, 10.5, 7.0]","[11.0, 9.0, 6.0]","[97.0, 90.4, 77.0]","[6.0, 1.3, 0.0]"
15,"[14.0, 10.4, 8.0]","[10.0, 8.5, 7.0]","[100.0, 90.1, 71.0]","[7.0, 4.1, 0.0]"
16,"[15.0, 11.1, 8.0]","[9.0, 8.1, 7.0]","[95.0, 82.4, 63.0]","[7.0, 4.3, 0.0]"
17,"[15.0, 11.0, 9.0]","[10.0, 8.3, 7.0]","[95.0, 83.5, 62.0]","[7.0, 5.1, 0.0]"
18,"[15.0, 10.9, 9.0]","[9.0, 8.0, 7.0]","[97.0, 85.3, 63.0]","[15.0, 6.1, 0.0]"
19,"[18.0, 12.3, 8.0]","[11.0, 9.4, 8.0]","[97.0, 84.1, 60.0]","[11.0, 2.4, 0.0]"
20,"[18.0, 12.5, 9.0]","[12.0, 10.9, 9.0]","[100.0, 89.3, 66.0]","[7.0, 3.8, 0.0]"
21,"[19.0, 13.6, 9.0]","[12.0, 10.8, 8.0]","[100.0, 84.1, 60.0]","[9.0, 3.6, 0.0]"
22,"[14.0, 12.8, 12.0]","[12.0, 12.0, 12.0]","[100.0, 93.0, 84.0]","[15.0, 8.3, 4.0]"
23,"[14.0, 11.9, 9.0]","[12.0, 10.6, 9.0]","[100.0, 92.3, 79.0]","[9.0, 2.8, 0.0]"
24,"[14.0, 10.6, 7.0]","[10.0, 9.0, 7.0]","[100.0, 89.5, 74.0]","[4.0, 1.0, 0.0]"
25,"[14.0, 9.8, 6.0]","[9.0, 7.9, 6.0]","[97.0, 88.5, 69.0]","[11.0, 5.6, 0.0]"
26,"[16.0, 11.4, 8.0]","[10.0, 9.0, 8.0]","[97.0, 85.6, 64.0]","[11.0, 4.6, 0.0]"
27,"[18.0, 12.4, 7.0]","[10.0, 8.4, 6.0]","[97.0, 79.9, 53.0]","[15.0, 7.8, 4.0]"
28,"[19.0, 12.1, 8.0]","[8.0, 6.0, 3.0]","[97.0, 71.4, 35.0]","[19.0, 7.3, 0.0]"
29,"[22.0, 12.8, 6.0]","[9.0, 6.8, 4.0]","[97.0, 72.9, 33.0]","[17.0, 5.1, 0.0]"
30,"[21.0, 14.5, 8.0]","[11.0, 8.9, 7.0]","[95.0, 71.9, 42.0]","[19.0, 8.6, 0.0]"
31,"[21.0, 14.1, 7.0]","[13.0, 10.6, 6.0]","[95.0, 81.1, 57.0]","[13.0, 5.0, 0.0]"
 Feb ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]"
1,"[21.0, 15.0, 8.0]","[13.0, 11.3, 8.0]","[97.0, 80.6, 53.0]","[11.0, 6.6, 0.0]"
2,"[20.0, 13.5, 6.0]","[13.0, 11.4, 9.0]","[95.0, 73.0, 0.0]","[15.0, 9.1, 0.0]"
3,"[14.0, 12.6, 11.0]","[12.0, 10.4, 9.0]","[96.0, 87.8, 74.0]","[15.0, 12.8, 7.0]"
4,"[16.0, 12.5, 10.0]","[11.0, 9.9, 9.0]","[97.0, 84.3, 62.0]","[11.0, 4.9, 0.0]"
5,"[18.0, 12.0, 8.0]","[9.0, 8.1, 6.0]","[100.0, 79.8, 46.0]","[7.0, 1.8, 0.0]"
6,"[23.0, 13.4, 6.0]","[11.0, 7.6, 3.0]","[97.0, 74.3, 29.0]","[11.0, 2.1, 0.0]"
7,"[26.0, 17.9, 9.0]","[15.0, 11.9, 9.0]","[97.0, 71.8, 36.0]","[7.0, 3.4, 0.0]"
8,"[26.0, 18.3, 13.0]","[15.0, 13.3, 11.0]","[96.0, 76.4, 45.0]","[7.0, 2.1, 0.0]"
9,"[21.0, 15.6, 12.0]","[13.0, 12.3, 11.0]","[100.0, 82.3, 53.0]","[11.0, 5.4, 0.0]"
10,"[22.0, 14.5, 10.0]","[12.0, 9.5, 8.0]","[97.0, 75.5, 41.0]","[19.0, 6.8, 0.0]"
11,"[22.0, 15.1, 9.0]","[10.0, 8.0, 4.0]","[95.0, 67.8, 32.0]","[19.0, 7.8, 0.0]"
12,"[23.0, 15.5, 11.0]","[10.0, 7.4, 3.0]","[95.0, 65.0, 28.0]","[15.0, 5.8, 0.0]"
13,"[26.0, 16.8, 8.0]","[11.0, 8.8, 7.0]","[97.0, 65.5, 32.0]","[7.0, 3.3, 0.0]"
14,"[27.0, 17.3, 9.0]","[14.0, 10.0, 6.0]","[92.0, 68.8, 27.0]","[11.0, 2.5, 0.0]"
15,"[26.0, 18.1, 10.0]","[14.0, 10.0, 6.0]","[92.0, 66.1, 28.0]","[7.0, 1.9, 0.0]"
16,"[26.0, 17.1, 11.0]","[13.0, 10.8, 9.0]","[95.0, 71.8, 35.0]","[9.0, 2.5, 0.0]"
17,"[26.0, 17.3, 11.0]","[12.0, 9.4, 5.0]","[93.0, 66.8, 28.0]","[7.0, 3.8, 0.0]"
18,"[28.0, 18.6, 10.0]","[13.0, 9.4, 3.0]","[97.0, 63.5, 20.0]","[7.0, 2.9, 0.0]"
19,"[25.0, 18.1, 12.0]","[12.0, 9.4, 5.0]","[91.0, 61.9, 28.0]","[11.0, 5.1, 0.0]"
20,"[23.0, 17.0, 13.0]","[12.0, 11.1, 8.0]","[93.0, 70.0, 38.0]","[19.0, 10.8, 6.0]"
